file,import_type,imported_module,imported_name,alias,line_number,instantiates_model_class
scripts\examples\factory_registry_integration.py,from,src.model.registry_setup,register_component,,19,False
scripts\examples\factory_registry_integration.py,from,src.model.registry_setup,encoder_registry,,19,False
scripts\examples\factory_registry_integration.py,from,src.model.registry_setup,bottleneck_registry,,19,False
scripts\examples\factory_registry_integration.py,from,src.model.registry_setup,decoder_registry,,19,False
scripts\examples\factory_registry_integration.py,from,src.model.registry_setup,architecture_registry,,19,False
scripts\examples\factory_registry_integration.py,from,src.model.factory,create_unet,,26,False
scripts\examples\factory_registry_integration.py,from,src.model.base,EncoderBase,,29,False
scripts\examples\factory_registry_integration.py,from,src.model.base,BottleneckBase,,29,False
scripts\examples\factory_registry_integration.py,from,src.model.base,DecoderBase,,29,False
scripts\examples\factory_registry_integration.py,from,src.model.base,UNetBase,,29,False
scripts\examples\factory_registry_integration.py,instantiation,,encoder_registry.register,,149,True
scripts\examples\factory_registry_integration.py,instantiation,,bottleneck_registry.register,,155,True
scripts\examples\factory_registry_integration.py,instantiation,,decoder_registry.register,,161,True
scripts\examples\factory_registry_integration.py,instantiation,,architecture_registry.register,,167,True
scripts\examples\factory_registry_integration.py,instantiation,,register_component,,173,True
scripts\examples\factory_registry_integration.py,instantiation,,create_unet,,228,True
scripts\examples\factory_registry_integration.py,instantiation,,create_unet,,240,True
scripts\examples\factory_registry_integration.py,instantiation,,encoder_registry.list,,264,True
scripts\examples\factory_registry_integration.py,instantiation,,bottleneck_registry.list,,265,True
scripts\examples\factory_registry_integration.py,instantiation,,decoder_registry.list,,266,True
scripts\examples\factory_registry_integration.py,instantiation,,architecture_registry.list,,267,True
scripts\experiments\debug_swin_params.py,from,src.model.encoder.swin_transformer_encoder,SwinTransformerEncoder,,8,False
scripts\experiments\debug_swin_params.py,instantiation,,SwinTransformerEncoder,,15,True
scripts\experiments\hybrid_registry_demo.py,from,src.model.registry_setup,encoder_registry,,15,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.registry_setup,bottleneck_registry,,15,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.registry_setup,decoder_registry,,15,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.registry_setup,architecture_registry,,15,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.hybrid_registry,hybrid_registry,,23,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.hybrid_registry,register_standard_hybrid,,23,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.hybrid_registry,register_complex_hybrid,,23,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.hybrid_registry,query_architectures_by_component,,23,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.hybrid_registry,query_architectures_by_tag,,23,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.hybrid_registry,HybridArchitectureDescriptor,,23,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.hybrid_registry,ComponentReference,,23,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.base,EncoderBase,,34,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.base,DecoderBase,,34,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.base,BottleneckBase,,34,False
scripts\experiments\hybrid_registry_demo.py,from,src.model.components.registry_support,register_all_components,,37,False
scripts\experiments\hybrid_registry_demo.py,instantiation,,decoder_registry.register,,51,True
scripts\experiments\hybrid_registry_demo.py,instantiation,,register_standard_hybrid,,60,True
scripts\experiments\hybrid_registry_demo.py,instantiation,,register_complex_hybrid,,78,True
scripts\experiments\hybrid_registry_demo.py,instantiation,,hybrid_registry.list_architectures,,90,True
